corridor,seller_id,n_orders,avg_delta,std_delta,avg_actual,std_actual,pct_late
SP_PE,4b9750c8ad28220fe6702d4ecb7c898f,6,-18.0,12.83744522870497,15.5,9.311283477587825,0.16666666666666666
SP_PE,4c2b230173bb36f9b240f2b8ac11786e,5,-13.4,6.87749954561976,19.6,7.700649323271382,0.0
SP_PE,4e922959ae960d389249c378d1c939f5,12,-19.083333333333332,9.699656351300973,19.666666666666668,8.510243382197858,0.0
SP_PE,53e4c6e0f4312d4d2107a8c9cddf45cd,9,-19.666666666666668,13.901438774457842,20.11111111111111,9.675283515799995,0.1111111111111111
SP_PE,54a1852d1b8f10312c55e906355666ee,5,-9.4,10.549881515922348,21.8,11.189280584559492,0.2
SP_PE,562fc2f2c2863ab7e79a9e4388a58a14,11,-13.363636363636363,12.784934315613258,17.636363636363637,12.54808931489354,0.09090909090909091
SP_PE,6560211a19b47992c3666cc44a7e94c0,51,-14.705882352941176,9.237519402192468,14.686274509803921,8.09565363902985,0.0784313725490196
SP_PE,70a12e78e608ac31179aea7f8422044b,10,-11.3,9.672986439909169,21.0,9.018499505645787,0.1
SP_PE,7142540dd4c91e2237acb7e911c4eba2,11,-17.636363636363637,7.433340127731641,18.545454545454547,7.285103106526857,0.0
SP_PE,7a67c85e85bb2ce8582c35f2203ad736,17,-14.0,12.211674741819815,16.352941176470587,13.434755191622344,0.058823529411764705
SP_PE,7aa4334be125fcdd2ba64b3180029f14,8,-13.75,11.997023440361007,19.75,10.166471504762253,0.25
SP_PE,7c67e1448b00f6e969d365cea6b010ab,12,-14.0,9.685978619539783,29.25,10.592664700373813,0.08333333333333333
SP_PE,7d13fca15225358621be4086e1eb0964,12,-10.75,12.728814841638922,21.166666666666668,12.261049438499683,0.16666666666666666
SP_PE,7ddcbb64b5bc1ef36ca8c151f6ec77df,12,-11.583333333333334,11.804916797930453,19.333333333333332,10.368951321862376,0.16666666666666666
SP_PE,7e1fb0a3ebfb01ffb3a7dae98bf3238d,6,-12.5,9.974968671630002,21.0,8.944271909999157,0.16666666666666666
SP_PE,8581055ce74af1daba164fdbd55a40de,8,-15.0,3.0237157840738176,18.25,5.70087712549569,0.0
SP_PE,8b28d096634035667e8263d57ba3368c,5,-12.0,3.8078865529319543,18.4,7.092249290598858,0.0
SP_PE,8b321bb669392f5163d04c59e235e066,13,-13.384615384615385,9.078715598754977,16.692307692307693,6.787054041637106,0.07692307692307693
SP_PE,8d956fec2e4337affcb520f56fd8cbfd,7,-15.428571428571429,5.061526214398936,11.428571428571429,2.2253945610567474,0.0
SP_PE,8f2ce03f928b567e3d56181ae20ae952,6,-6.333333333333333,18.47881670093263,25.0,17.227884373886425,0.3333333333333333
SP_PE,92eb0f42c21942b6552362b9b114707d,8,-13.5,9.516902257112267,20.25,8.013381665332416,0.0
SP_PE,955fee9216a65b617aa5c0531780ce60,22,-15.636363636363637,8.109638325241994,15.909090909090908,5.5197402536290125,0.0
SP_PE,9f505651f4a6abe901a56cdc21508025,8,-12.75,9.794313218831192,15.25,8.77903346453518,0.125
SP_PE,b2ba3715d723d245138f291a6fe42594,7,-13.0,11.372481406154654,18.571428571428573,7.524562952029016,0.14285714285714285
SP_PE,b4ffb71f0cb1b1c3d63fad021ecf93e1,6,-20.5,4.505552130427524,11.333333333333334,3.32665998663324,0.0
SP_PE,c003204e1ab016dfa150abc119207b24,5,-11.4,4.827007354458868,12.2,3.7682887362833544,0.0
SP_PE,c826c40d7b19f62a09e2d7c5e7295ee2,6,-15.333333333333334,2.422120283277993,14.166666666666666,2.041241452319315,0.0
SP_PE,c9c7905cffc4ef9ff9f113554423e671,6,-3.8333333333333335,22.417998721265615,27.166666666666668,20.074029656914096,0.16666666666666666
SP_PE,cc419e0650a3c5ba77189a1882b7556a,40,-16.55,10.263077960863846,17.925,10.077615458695242,0.075
SP_PE,cca3071e3e9bb7d12640c9fbe2301306,7,-12.0,20.51016008388688,26.714285714285715,12.81554116056342,0.2857142857142857
SP_PE,ceaec5548eefc6e23e6607c5435102e7,11,-12.272727272727273,19.774179674974683,20.272727272727273,17.263203115823607,0.09090909090909091
SP_PE,da8622b14eb17ae2831f4ac5b9dab84a,5,-11.8,7.328028384224504,19.4,6.148170459575759,0.0
SP_PE,db4350fd57ae30082dec7acbaacc17f9,5,-20.8,7.014271166700073,11.4,4.393176527297759,0.0
SP_PE,ea8482cd71df3c1969d7b9473ff13abc,31,-11.193548387096774,10.58117622585413,18.548387096774192,8.632646213367098,0.0967741935483871
SP_PE,ef506c96320abeedfb894c34db06f478,8,-16.5,9.16515138991168,17.625,6.162965427222746,0.0
SP_PE,f46490624488d3ff7ce78613913a7711,7,-6.571428571428571,11.702665549026895,17.428571428571427,9.76144017477515,0.14285714285714285
SP_PE,f7ba60f8c3f99e7ee4042fdef03b70c4,12,-12.833333333333334,10.752025883807228,15.916666666666666,10.166418278138108,0.16666666666666666
SP_PE,f8db351d8c4c4c22c6835c19a46f01b0,11,-11.727272727272727,9.950787999861209,21.363636363636363,7.593059031414512,0.09090909090909091
SP_PE,fa1c13f2614d7b5c4749cbc52fecda94,17,-12.0,9.899494936611665,17.647058823529413,8.403430671982932,0.058823529411764705
SP_PE,fa40cc5b934574b62717c68f3d678b6d,5,-18.8,5.449770637375485,11.6,3.1304951684997055,0.0
SP_PI,1f50f920176fa81dab994f9023523100,5,-3.2,11.34460224071342,22.6,8.44393273303382,0.4
SP_PI,3d871de0142ce09b7081e2b9d1733cb1,6,-18.5,3.937003937005906,15.833333333333334,5.192943930629973,0.0
SP_PI,6560211a19b47992c3666cc44a7e94c0,12,-10.666666666666666,10.147398532121274,15.666666666666666,8.18350151033755,0.25
SP_PI,7a67c85e85bb2ce8582c35f2203ad736,10,-16.4,6.65331997326648,14.8,4.779586221049311,0.0
SP_PI,7c67e1448b00f6e969d365cea6b010ab,5,-1.8,14.463747785411636,39.2,9.523654760647302,0.6
SP_PI,8b321bb669392f5163d04c59e235e066,9,-7.777777777777778,10.183046913593419,19.77777777777778,7.8704793020783965,0.2222222222222222
SP_PI,cc419e0650a3c5ba77189a1882b7556a,8,-13.125,11.581234821900468,17.75,10.250435530816658,0.125
SP_PI,ea8482cd71df3c1969d7b9473ff13abc,11,-4.636363636363637,6.712268279392999,20.363636363636363,6.9032271768025595,0.18181818181818182
SP_PI,fa1c13f2614d7b5c4749cbc52fecda94,7,-17.428571428571427,9.360504666899516,14.285714285714286,3.946064947695181,0.0
SP_PR,004c9cd9d87a3c30c522c48c4fc07416,8,-9.625,7.872873862646528,14.875,6.334429729659964,0.0
SP_PR,00ee68308b45bc5e2660cd833c3f81cc,6,-13.666666666666666,8.71014733897577,9.0,6.54217089351845,0.16666666666666666
SP_PR,0bae85eb84b9fb3bd773911e89288d54,8,-12.25,4.77343841331532,9.75,3.1959796173138706,0.0
SP_PR,0be8ff43f22e456b4e0371b2245e4d01,7,-11.285714285714286,8.712333895390023,11.142857142857142,7.221001117771492,0.14285714285714285
SP_PR,0db783cfcd3b73998abc6e10e59a102f,6,-15.833333333333334,5.528712930390459,10.333333333333334,3.2041639575194445,0.0
SP_PR,0dd184061fb0eaa7ca37932c68ab91c5,7,-5.714285714285714,8.035634920242991,14.285714285714286,8.300889223737533,0.14285714285714285
SP_PR,1025f0e2d44d7041d6cf58b6550e0bfa,69,-12.521739130434783,7.155024346676573,11.898550724637682,5.311322333236444,0.043478260869565216
SP_PR,1127b7f2594683f2510f1c2c834a486b,6,-11.666666666666666,3.265986323710904,10.833333333333334,5.192943930629973,0.0
SP_PR,16090f2ca825584b5a147ab24aa30c86,25,-10.84,7.919806394940052,11.12,6.772001181334806,0.12
SP_PR,17e34d8224d27a541263c4c64b11a56b,11,-14.0,6.511528238439882,12.727272727272727,4.125309905713971,0.0
SP_PR,1835b56ce799e6a4dc4eddc053f04066,16,-10.5625,9.273393841163728,15.9375,8.433810921918196,0.125
SP_PR,18a349e75d307f4b4cc646a691ed4216,9,-12.88888888888889,5.754225500544024,12.222222222222221,5.585198693372013,0.0
SP_PR,1900267e848ceeba8fa32d80c1a5f5a8,9,-13.333333333333334,4.9749371855331,11.555555555555555,2.96273147243853,0.0
SP_PR,1bb2bdb95f4841f1bba2c0d2cd83d3c9,9,-14.88888888888889,5.348935511960404,14.11111111111111,4.136557881996952,0.0
SP_PR,1c129092bf23f28a5930387c980c0dfc,11,-11.363636363636363,5.220588611885201,14.272727272727273,5.31207886031277,0.0
